category,article_count,total_words,mean_words,median_words,std_words,min_words,max_words,p25,p75,p90
human,2062,411254,199.4,143.5,280.2,0,4787,76.0,250.0,356.0
film,360,72622,201.7,162.0,191.9,27,2304,116.0,226.2,320.2
mosque,350,6877,19.6,18.0,11.0,4,168,17.0,20.0,23.0
taxon,236,27931,118.4,20.0,284.0,4,2553,12.0,99.8,295.0
country,181,10353,57.2,26.0,170.3,5,2044,18.0,35.0,78.0
city,126,6719,53.3,20.5,126.5,7,1024,16.0,24.8,114.0
river,124,16653,134.3,77.5,165.6,19,1338,49.0,148.2,281.2
business,76,25849,340.1,295.0,194.1,38,1076,212.5,419.8,558.0
modern language,70,12581,179.7,168.5,123.5,14,611,80.2,243.8,306.3
association football club,64,6501,101.6,65.5,90.6,12,456,40.0,127.5,228.5
sector of Rwanda,56,5082,90.8,44.5,104.7,3,574,23.0,119.0,209.0
organization,45,7543,167.6,108.0,148.3,7,594,67.0,225.0,432.8
stadium,42,4208,100.2,91.5,49.5,30,247,66.2,125.0,158.6
aspect in a geographic region,42,13068,311.1,154.0,396.8,45,1851,90.5,325.0,715.4
Wikimedia list article,42,8871,211.2,145.0,227.0,1,1117,59.0,282.5,510.7
flood,41,5927,144.6,126.0,99.1,23,403,65.0,203.0,295.0
nonprofit organization,39,8879,227.7,165.0,251.3,19,1364,68.0,277.0,421.6
big city,38,1601,42.1,15.5,92.0,5,523,11.0,27.5,64.0
book of the Bible,28,638,22.8,20.5,9.7,16,66,17.8,24.2,28.0
lake,27,7691,284.9,242.0,213.7,35,1057,172.5,310.5,546.6
district of Rwanda,25,14514,580.6,290.0,708.7,50,2598,113.0,595.0,1557.0
mountain range,24,6501,270.9,208.5,232.6,80,1021,110.5,283.2,591.9
sports season,23,5455,237.2,201.0,183.5,26,737,87.0,374.0,406.2
province of Turkey,21,1388,66.1,52.0,32.6,40,173,47.0,77.0,85.0
nation at sport competition,20,2348,117.4,69.0,193.6,25,916,41.5,95.5,164.1
tourism in a region,19,7434,391.3,336.0,327.0,79,1317,176.0,413.5,668.6
class of disease,18,6349,352.7,337.0,373.2,10,1271,69.8,425.5,730.4
mountain,17,2628,154.6,116.0,141.6,23,544,51.0,191.0,345.8
film festival,16,3057,191.1,128.5,134.1,75,455,95.8,231.0,419.5
Wikimedia disambiguation page,16,1500,93.8,67.0,104.6,2,413,36.2,95.8,196.0
Olympic delegation,16,2046,127.9,117.5,89.8,23,377,56.2,172.8,209.0
district of Turkey,14,1644,117.4,116.0,18.1,86,166,107.2,122.0,129.8
academic discipline,14,16651,1189.4,283.5,2053.9,14,7079,119.0,1121.0,3542.1
museum,14,3666,261.9,188.5,227.2,53,768,74.5,336.5,594.2
sign language,14,1058,75.6,77.5,36.9,24,157,45.0,97.5,108.6
company,13,3917,301.3,222.0,302.4,73,1249,151.0,333.0,397.0
currency,12,9000,750.0,445.5,847.1,2,2942,312.5,766.2,1811.0
Paralympics delegation,12,1771,147.6,100.5,119.0,62,476,87.5,147.0,267.6
tourist attraction,12,2972,247.7,164.0,223.0,17,715,107.8,294.2,614.5
basketball team,12,1780,148.3,121.5,86.3,53,311,92.0,169.0,299.8
human settlement,11,2686,244.2,39.0,518.8,6,1765,18.0,185.5,362.0
government agency,11,1978,179.8,162.0,100.7,46,338,104.0,243.5,323.0
national park,11,3585,325.9,222.0,286.1,16,848,143.5,478.5,758.0
town,11,1852,168.4,116.0,201.1,24,768,108.5,128.5,133.0
watercourse,11,1085,98.6,89.0,68.4,19,211,35.0,147.0,193.0
calendar month,10,174,17.4,15.5,3.2,15,23,15.0,19.5,22.1
school,10,2469,246.9,222.0,177.5,78,698,138.8,263.2,365.9
sports governing body,10,985,98.5,103.5,41.7,39,173,67.2,123.0,137.9
non-governmental organization,10,2313,231.3,187.5,156.2,39,510,144.8,313.8,432.6
organisms known by a particular common name,10,10925,1092.5,207.0,2376.5,19,7745,113.2,573.0,2084.0
type of sport,10,1446,144.6,100.0,158.0,6,452,9.2,249.2,287.3
privately held company,10,2990,299.0,256.5,138.9,120,572,228.2,372.0,457.7
scientific journal,9,922,102.4,104.0,41.7,37,177,97.0,108.0,147.4
type of chemical entity,9,1034,114.9,97.0,64.4,38,217,61.0,164.0,197.0
short film,9,1229,136.6,119.0,77.0,56,331,114.0,133.0,175.8
national basketball team,8,759,94.9,89.0,20.9,80,144,82.8,95.0,111.8
diocese of the Catholic Church,8,1333,166.6,144.5,59.5,94,280,136.0,199.5,233.1
occurrence,8,1560,195.0,167.5,79.4,127,324,133.2,226.2,314.9
British overseas territory,7,136,19.4,21.0,5.9,12,27,14.5,23.5,25.2
website,7,1592,227.4,267.0,148.9,3,441,137.0,303.5,375.0
region,7,4500,642.9,31.0,1506.3,9,4052,25.5,178.5,1791.2
largest city,7,331,47.3,14.0,94.8,7,262,8.0,16.0,115.0
software,7,1935,276.4,294.0,186.9,82,542,106.5,402.0,502.4
airport,7,1341,191.6,159.0,72.8,137,309,143.0,225.0,294.0
airline,7,1724,246.3,143.0,267.1,80,825,92.0,246.0,513.0
road,7,1915,273.6,301.0,88.3,123,397,228.5,318.5,353.2
political party,7,1338,191.1,38.0,287.4,33,807,35.5,194.5,498.6
hospital,7,1943,277.6,322.0,180.8,34,484,140.5,411.0,456.4
school for the deaf,7,907,129.6,112.0,57.3,76,242,91.5,147.0,192.8
international organization,6,1419,236.5,171.0,183.4,69,589,158.5,241.2,426.0
national sports team,6,1147,191.2,166.5,118.8,71,383,103.0,250.2,323.0
free software,6,1522,253.7,210.0,231.0,0,670,132.0,297.0,495.5
national association football team,6,598,99.7,73.0,64.1,32,209,70.2,124.5,175.0
concept,6,17359,2893.2,424.0,5776.6,106,14627,195.0,1350.5,8140.0
television series,6,1068,178.0,129.5,127.5,72,410,97.0,213.0,323.5
architectural structure,6,553,92.2,50.0,112.2,17,306,17.5,105.0,209.5
province of Vanuatu,6,163,27.2,27.0,0.4,27,28,27.0,27.0,27.5
research institute,6,782,130.3,93.5,148.3,22,427,61.5,94.8,261.0
sport in a geographic region,6,9205,1534.2,1018.5,1428.0,185,4013,672.5,2064.2,3209.0
day of the week,6,126,21.0,22.5,3.5,14,23,21.2,23.0,23.0
religious text,6,851,141.8,80.0,145.3,34,396,36.5,199.2,310.5
university,6,2122,353.7,317.5,202.5,136,651,199.5,484.2,590.5
dependent territory,6,98,16.3,14.0,4.0,13,22,14.0,19.2,21.5
island,5,132,26.4,19.0,18.9,15,60,18.0,20.0,44.0
state of Palau,5,110,22.0,21.0,2.6,19,26,21.0,23.0,24.8
Braille script,5,831,166.2,169.0,55.1,98,248,140.0,176.0,219.2
fruit,5,627,125.4,20.0,203.6,11,484,15.0,97.0,329.2
Memorial of the Genocide against the Tutsi in Rwanda,5,1302,260.4,231.0,165.8,61,498,176.0,336.0,433.2
branch of agriculture,5,3716,743.2,741.0,271.8,501,1183,535.0,756.0,1012.2
province of Rwanda,5,878,175.6,133.0,128.9,83,403,121.0,138.0,297.0
protected area,5,2165,433.0,295.0,310.1,259,985,283.0,343.0,728.2
ethnic group,5,7294,1458.8,239.0,2021.6,85,4724,102.0,2144.0,3692.0
literary work,5,898,179.6,166.0,147.9,51,427,82.0,172.0,325.0
education in country or region,4,4960,1240.0,1002.0,729.7,678,2278,761.2,1480.8,1959.1
screen reader,4,573,143.2,143.5,31.9,106,180,124.8,162.0,172.8
political territorial entity,4,136,34.0,29.5,24.3,10,67,20.5,43.0,57.4
class of anatomical entity,4,713,178.2,148.0,148.4,38,379,86.0,240.2,323.5
project,4,2002,500.5,273.0,574.3,104,1352,198.5,575.0,1041.2
field of study,4,1881,470.2,302.0,411.7,204,1073,207.0,565.2,869.9
federal subject of Russia,4,101,25.2,23.5,6.8,19,35,22.0,26.8,31.7
