subject_id	property	object_id	subject_label	object_label
Q31	P31	Q3624078	Belgium	sovereign state
Q31	P31	Q43702	Belgium	federation
Q31	P31	Q6256	Belgium	country
Q31	P31	Q20181813	Belgium	colonial power
Q31	P31	Q1250464	Belgium	realm
Q8	P31	Q331769	happiness	mood
Q8	P31	Q60539479	happiness	positive emotion
Q23	P31	Q5	George Washington	human
Q45	P31	Q3624078	Portugal	sovereign state
Q45	P31	Q6256	Portugal	country
Q45	P31	Q20181813	Portugal	colonial power
Q51	P31	Q5107	Antarctica	continent
Q51	P31	Q82794	Antarctica	region
Q51	P31	Q312461	Antarctica	terra nullius
Q51	P31	Q2418896	Antarctica	part of the world
Q51	P31	Q2221906	Antarctica	geographic location
Q58	P31	Q712378	penis	organ
Q125	P31	Q47018901	November	calendar month
Q140	P31	Q16521	lion	taxon
Q144	P31	Q55983715	dog	organisms known by a particular common name
Q148	P31	Q3624078	People's Republic of China	sovereign state
Q148	P31	Q842112	People's Republic of China	socialist state
Q148	P31	Q859563	People's Republic of China	secular state
Q148	P31	Q1520223	People's Republic of China	constitutional republic
Q148	P31	Q465613	People's Republic of China	people's republic
Q148	P31	Q118365	People's Republic of China	dictatorship of the proletariat
Q148	P31	Q10711424	People's Republic of China	state with limited recognition
Q148	P31	Q849866	People's Republic of China	communist state
Q148	P31	Q6256	People's Republic of China	country
Q155	P31	Q3624078	Brazil	sovereign state
Q155	P31	Q859563	Brazil	secular state
Q155	P31	Q6256	Brazil	country
Q155	P31	Q512187	Brazil	federal republic
Q183	P31	Q3624078	Germany	sovereign state
Q183	P31	Q619610	Germany	social state
Q183	P31	Q4209223	Germany	Rechtsstaat
Q183	P31	Q63791824	Germany	country bordering the Baltic Sea
Q183	P31	Q6256	Germany	country
Q207	P31	Q5	George W. Bush	human
Q233	P31	Q3624078	Malta	sovereign state
Q233	P31	Q112099	Malta	island country
Q233	P31	Q179164	Malta	unitary state
Q233	P31	Q6256	Malta	country
Q233	P31	Q51576574	Malta	Mediterranean country
Q233	P31	Q3803158	Malta	Maltese Islands
Q298	P31	Q3624078	Chile	sovereign state
Q298	P31	Q6256	Chile	country
Q298	P31	Q6266	Chile	nation
Q298	P31	Q5255892	Chile	democratic republic
Q298	P31	Q1323642	Chile	transcontinental country
Q398	P31	Q3624078	Bahrain	sovereign state
Q398	P31	Q112099	Bahrain	island country
Q398	P31	Q6256	Bahrain	country
Q398	P31	Q33837	Bahrain	archipelago
Q619	P31	Q5	Nicolaus Copernicus	human
Q686	P31	Q3624078	Vanuatu	sovereign state
Q686	P31	Q112099	Vanuatu	island country
Q686	P31	Q6256	Vanuatu	country
Q686	P31	Q11815167	Vanuatu	archipelagic state
Q801	P31	Q51576574	Israel	Mediterranean country
Q801	P31	Q6256	Israel	country
Q801	P31	Q82794	Israel	region
Q801	P31	Q10711424	Israel	state with limited recognition
Q819	P31	Q3624078	Laos	sovereign state
Q819	P31	Q123480	Laos	landlocked country
Q819	P31	Q849866	Laos	communist state
Q819	P31	Q465613	Laos	people's republic
Q819	P31	Q6256	Laos	country
Q863	P31	Q3624078	Tajikistan	sovereign state
Q863	P31	Q123480	Tajikistan	landlocked country
Q863	P31	Q179164	Tajikistan	unitary state
Q863	P31	Q6256	Tajikistan	country
Q869	P31	Q41614	Thailand	constitutional monarchy
Q869	P31	Q3624078	Thailand	sovereign state
Q869	P31	Q6256	Thailand	country
Q869	P31	Q179164	Thailand	unitary state
Q878	P31	Q3624078	United Arab Emirates	sovereign state
Q878	P31	Q6256	United Arab Emirates	country
Q912	P31	Q3624078	Mali	sovereign state
Q912	P31	Q123480	Mali	landlocked country
Q912	P31	Q6256	Mali	country
Q916	P31	Q3624078	Angola	sovereign state
Q916	P31	Q200464	Angola	Portuguese Empire
Q916	P31	Q6256	Angola	country
Q916	P31	Q333542	Angola	overseas province of Portugal
Q1044	P31	Q7270	Sierra Leone	republic
Q1044	P31	Q3624078	Sierra Leone	sovereign state
Q1044	P31	Q6256	Sierra Leone	country
Q1049	P31	Q7270	Sudan	republic
Q1049	P31	Q3624078	Sudan	sovereign state
