article_id	title	wikidata_id
775	Rwanda	Q1037
1649	Bibiliya	Q1845
1650	Yezu Kirisitu	Q302
1651	Afurika	Q15
1652	Nijeriya	Q1033
1653	Ubuholandi	Q55
1655	Adamu	Q70899
1657	Ubukirisitu	Q5043
1663	Abatutsi	Q193092
1666	Interahamwe	Q755973
1779	Impunzi z'Abarundi mu Rwanda	Q25701927
1783	Ikidage	Q188
1784	Abadage	Q42884
1785	Ubudage	Q183
1786	Burayi	Q46
1792	Perezida wa Repubulika y’u Rwanda	Q596565
1794	Paul Kagame	Q1231345
1808	Nta mugabo umwe	Q25701928
1809	Naje kubara inkuru	Q25701929
1818	Nyiramakangaza ngo mutahe	Q25701931
1819	Imbeho ku rugi	Q25701933
1821	Ingara z'iminyinya	Q25701937
1824	Ubuto bwa so na nyoko	Q25701939
1825	Idini Ryitwa Yezu Nyakuri	Q1859
1971	Inkoranyamagambo y’Igiholandi n’Ikinyarwanda yakozwe na Emmanuel Habumuremyi	Q25701938
2005	Tanzaniya	Q924
2010	Yakobo	Q289957
2024	Kigali	Q3859
2038	Ikinyobwa	Q40050
2046	Umutobe w’imbuto	Q20932605
2053	Umunyu	Q11254
2054	Umuneke	Q503
2067	Umusozi	Q8502
2069	Umuceli	Q5090
2071	Ihene	Q2934
2089	Ubushinwa	Q148
2091	Ubwongereza	Q145
2093	Ubufaransa	Q142
2096	Ubuhinde	Q668
2111	Miryango	Q8436
2151	Jenoside yakorewe Abatutsi muri 1994	Q131297
2153	Uetersen	Q1404
2164	Curitiba	Q4361
2171	Ububiligi	Q31
2176	Pasteur Bizimungu	Q471882
2210	Esipanye	Q29
2225	Urubuga ku micungire n'imiyoborere ya Interineti	Q1354096
2297	Kaminuza nkuru y’u Rwanda	Q650982
2337	ISO 3166-1	Q25275
2357	Ururabo rw’umugati	Q161085
2358	Igiti cy’Ubuhinde	Q1973585
2372	Pigazzano	Q787595
2423	Silovakiya	Q214
2425	Ubugereki	Q41
2429	Siloveniya	Q215
2430	Cekiya	Q213
2431	Bulugariya	Q219
2432	Finilande	Q33
2433	Esitoniya	Q191
2434	Danimarike	Q35
2436	Ikimera	Q756
2489	Grégoire Kayibanda	Q557995
2496	Ikigereki	Q9129
2535	Impara	Q132576
2537	Igihura	Q46605397
2539	Igishegeshi	Q787416
2541	Nyiramuhari	Q208079
2544	Intare	Q140
2548	Inguge	Q1367
2549	Umuvumu	Q3644520
2555	Inkoko	Q780
2556	Uruwumvu	Q37686
2557	Itamu	Q216815
2560	Impongo	Q328803
2562	Inzobe	Q234597
2563	Inka	Q830
2568	Isukari	Q11002
2569	Igi	Q93189
2571	Urubuto	Q1364
2572	Umugati	Q7802
2573	Inyama	Q10990
2574	Urufunzo	Q158808
2576	Isazi	Q2720956
2579	Igiti	Q10884
2581	Umutima w'imfizi	Q472653
2583	Seremoliya	Q158986
2584	Umwembe	Q169
2587	Amapera	Q3181909
2588	Avoka	Q37153
2691	Umwana	Q7569
2712	0	Q204
2715	Rimwe	Q199
2716	Kabiri	Q200
2721	Imbwa	Q144
2734	Facebook	Q355
2735	Mitarayeze	Q1760834
2736	Pariki ya Nyungwe	Q1356828
2737	Icyondi	Q28154834
2739	Inkomo	Q541813
2742	Igihinyage	Q1077117
2743	Inkima	Q667252
2746	Inyenzi	Q13538828
2747	Impundu	Q3296642
2751	Umuko	Q2746574
2753	Umuturirwa	Q25701941
2756	Isununu	Q15564497
2758	Umugote	Q3644516
2760	Umusengesi	Q6948152
2763	Umwumba	Q959738
2765	Imvuvumu	Q4022404
2769	Lotusi y’ubuhinde	Q16528
2772	Amahwa ya Kasi	Q1939271
2774	Umwembe wa Kalimantana	Q1779784
2776	Ingagi	Q36611
2778	Pariki y’Igihugu y’Ibirunga	Q932736
2890	Igazeti ya Leta ya Repubulika y’u Rwanda	Q25701944
2892	Icyumweru	Q23387
2893	Iminsi y'imibyizi	Q41825
2898	Ku wa mbere	Q105
2899	Ku wa Kabiri	Q127
2900	Ku wa gatatu	Q128
2901	Ku wa kane	Q129
2902	Ku wa gatanu	Q130
2903	Ku wa gatandatu	Q131
2904	Ku cyumweru	Q132
2905	Ukwezi	Q5151
2907	Mutarama	Q108
2909	Gashyantare	Q109
2911	Werurwe	Q110
2913	Mata	Q118
2915	Gicurasi	Q119
2917	Kamena	Q120
2919	Nyakanga	Q121
2921	Kanama	Q122
2924	Nzeri	Q123
2928	Ukwakira	Q124
2931	Ugushyingo	Q125
2934	Ukuboza	Q126
2937	Umunsi	Q573
2938	Cécile Kayirebwa	Q16594393
2941	Noheli	Q19809
2944	Revolusiyo ya kabiri ya 1973	Q4575699
2945	Abatwa	Q107331
2946	Chris Maina Peter	Q25701946
2947	Edith Kibalama	Q16594395
2949	Kituo Cha Katiba	Q25701948
2957	Hondurasi	Q783
2958	Perezidansi y’Amerika	Q35525
2962	WikiLeaks	Q359
2967	Umupira w’amaguru	Q2736
2969	Shampiyona y’ icyiciro cya mbere mu mupira w’amaguru mu Rwanda	Q960171
2972	Ishyirahamwe ry’Umupira w’Amaguru mu Rwanda	Q1194884
2975	Amavubi	Q319776
2977	Inama y’Abaminisitiri	Q5176454
